Date,Teams,Type,League,Odds,Staked,Won?,Returns,Profit,Final Bankroll,,Stake,£1.97,,,,,,,,,,
09/12/2019,Perugia vs Cosenza,Over 1.0 FH Goal Line,Serie B,2.250,£2.41,p,£2.41,£0.00,,,,,,J2 League,0,#DIV/0!,#DIV/0!,£0.00,£0.00,,#DIV/0!,
09/12/2019,Meppen vs Preußen Münster,BTTS Yes,3. Liga,1.500,£2.41,y,£3.62,£1.21,,,,,,Isreal,12,41.67%,50.00%,-£3.60,£30.49,-11.82%,1.67,
09/12/2019,OB vs AaB,Over 1.0 FH Goal Line,Superliga,1.725,£2.41,n,£0.00,-£2.41,,,,,,Egypt,4,50.00%,75.00%,£0.84,£9.21,,1.53,
09/12/2019,Patronato vs Vélez Sarsfield,Under 2.5 Goals,Argentina,1.525,£2.41,y,£3.68,£1.27,,,,,,Argentina,3,33.33%,66.67%,£1.27,£4.91,,1.78,
09/12/2019,Kayserispor vs Rizespor,Over 0.5/1.0 FH Goal Line,Super-Lig,1.480,£2.41,hw,£2.99,£0.58,,,,,,A-League,13,46.15%,53.85%,£3.10,£20.03,15.50%,1.48,
09/12/2019,Rio Ave vs Gil Vicente,Over 0.5/1.0 FH Goal Line,Primeira Liga,1.650,£2.41,n,£0.00,-£2.41,,,,,,,,,,,,,,
09/12/2019,Hapoel Be'er Sheva vs Maccabi Haifa,Over 0.5/1.0 FH Goal Line,Isreal,1.600,£2.41,y,£3.86,£1.45,£96.26,,,,,Range,Bets,Win%,Win/Push %,Profit,Staked,ROI,Avg Odds,
10/12/2019,Stoke City vs Luton Town,Goal In Each Half,Championship,1.610,£2.41,y,£3.88,£1.47,,,,,,<1.1,3,33.33%,33.33%,-£2.14,£4.70,,1.08,
10/12/2019,Stoke City vs Luton Town,Over 0.5/1.0 FH Goal Line,Championship,1.475,£2.41,y,£3.55,£1.14,,,,,,>= 1.1 AND <1.2,31,87.10%,90.32%,£9.67,£69.48,13.92%,1.15,
10/12/2019,Maidstone United vs Chippenham Town,Over 0.5/1.0 FH Goal Line,National League South,1.550,£2.41,n,£0.00,-£2.41,£96.46,,,,,>= 1.2 AND <1.3,29,62.07%,72.41%,-£5.70,£71.04,-8.02%,1.23,
11/12/2019,Swansea City vs Blackburn Rovers,Over 0.5/1.0 FH Goal Line,Championship,1.500,£2.41,y,£3.62,£1.21,£97.67,,,,,>= 1.3 AND <1.4,69,36.23%,63.77%,-£13.72,£156.99,-8.74%,1.34,
13/12/2019,Hoffenheim vs Augsburg,Over 0.5/1.0 FH Goal Line,Bundesliga,1.425,£2.44,y,£3.48,£1.04,,,,,,>= 1.4 AND <1.5,116,41.38%,65.52%,£14.04,£240.10,5.85%,1.43,
13/12/2019,Bochum vs Hannover 96,Over 0.5/1.0 FH Goal Line,2. Bundesliga,1.450,£2.44,y,£3.54,£1.10,,,,,,>= 1.5 AND <1.6,144,40.97%,59.72%,-£24.48,£343.37,-7.13%,1.53,
13/12/2019,Erzgebirge Aue vs Jahn Regensburg,BTTS Yes,2. Bundesliga,1.500,£2.44,n,£0.00,-£2.44,,,,,,>= 1.6 AND <1.7,99,42.42%,74.75%,£27.26,£248.78,10.96%,1.64,
13/12/2019,Nancy vs Châteauroux,Under 1.0 FH Goal Line,Ligue 2,1.575,£2.44,p,£2.44,£0.00,,,,,,>= 1.7 AND <1.8,59,45.76%,64.41%,£2.26,£154.34,1.46%,1.73,
13/12/2019,Le Mans vs Orléans,Under 11 Match Corners,Ligue 2,1.360,£2.44,y,£3.32,£0.88,,,,,,>= 1.8 AND <1.9,28,28.57%,53.57%,-£10.12,£68.51,-14.77%,1.83,
13/12/2019,Valenciennes vs Paris FC,BTTS No,Ligue 2,1.660,£2.44,y,£4.05,£1.61,,,,,,>= 1.9 AND <2,25,36.00%,60.00%,-£0.93,£65.06,-1.42%,1.93,
13/12/2019,Valenciennes vs Paris FC,Under 2.5 Goals,Ligue 2,1.500,£2.44,y,£3.66,£1.22,,,,,,>= 2,29,27.59%,44.83%,-£17.51,£74.26,-23.58%,2.13,
13/12/2019,Clermont vs Le Havre,Over 0.5/1.0 FH Goal Line,Ligue 2,1.725,£2.44,y,£4.21,£1.77,,,,,,,,,,,,,,
13/12/2019,Bourg-en-Bresse vs Cholet,Over 0.5/1.0 FH Goal Line,National 1,1.700,£2.44,y,£4.15,£1.71,,,,,,Over 0.5/1.0 FH Goal Line,,,,,,,,
13/12/2019,Laval vs Avranches,Under 2.5 Goals,National 1,1.575,£2.44,n,£0.00,-£2.44,,,,,,Recent Form,Bets,Win%,Win/Push %,Profit,Staked,ROI,Avg Odds,
13/12/2019,Portimonense vs Rio Ave,Over 0.5/1.0 FH Goal Line,Primeira Liga,1.525,£2.44,hw,£3.08,£0.64,,,,,,Past Week,49,20.41%,61.22%,-£3.53,£87.30,-4.05%,1.48,
13/12/2019,Heerenveen vs Willem II,Over 0.5/1.0 FH Goal Line,Eredivisie,1.425,£2.44,y,£3.48,£1.04,,,,,,Past Two Weeks,75,18.67%,65.33%,-£4.62,£144.44,-3.20%,1.51,
13/12/2019,Cambuur vs Ajax II,Over 1.0 FH Goal Line,Eerste Divisie,1.375,£2.44,p,£2.44,£0.00,,,,,,Past Month,121,23.14%,68.60%,-£5.93,£267.55,-2.22%,1.52,
13/12/2019,Cambuur vs Ajax II,Goal In Each Half,Eerste Divisie,1.330,£2.44,y,£3.25,£0.81,,,,,,,,,,,,,,
13/12/2019,PSV II vs Dordrecht,BTTS Yes,Eerste Divisie,1.400,£2.44,n,£0.00,-£2.44,,,,,,,,,,,,,,
13/12/2019,Roda JC vs AZ II,BTTS Yes,Eerste Divisie,1.500,£2.44,y,£3.66,£1.22,,,,,,,,,,,,,,
13/12/2019,Helmond Sport vs Go Ahead Eagles,BTTS Yes,Eerste Divisie,1.660,£2.44,y,£4.05,£1.61,,,,,,,,,,,,,,
